ID,EmployeeID,ProjectID,StartDate,EndDate,SettlementFlag,SettlementUpperLimitName,SettlementUpperLimit,SettlementLowerLimitName,SettlementLowerLimit,BasicAmount,Note,DeleteFlag,CreatUserID,CreatDateTime,UpdateUserID,UpdateDateTime,LockVer
1,1,6,2021/1/1,2022/1/31,1,140H,140,180H,180,700000,,0,,,,,0
2,1,7,2022/2/1,2022/2/14,1,140H,140,180H,180,700000,,0,,,,,0
3,1,8,2022/5/1,2022/6/1,1,140H,140,180H,180,700000,,0,,,,,0
4,1,9,2022/7/1,2022/9/1,1,140H,140,180H,180,700000,,0,,,,,0
5,1,10,2022/9/1,2022/12/1,1,140H,140,180H,180,700000,,0,,,,,0
6,1,11,2022/11/1,2023/3/1,1,140H,140,180H,180,700000,,0,,,,,0
7,1,12,2023/1/1,2023/6/1,0,,,,,700000,,0,,,,,0
8,1,13,2023/3/1,2023/9/1,0,,,,,700000,,0,,,,,0
9,2,8,2021/1/1,2022/1/31,0,,,,,700000,,0,,,,,0
10,2,9,2022/2/1,2022/2/14,0,,,,,700000,,0,,,,,0
11,2,10,2022/5/1,2022/6/1,0,,,,,700000,,0,,,,,0
12,2,11,2022/7/1,2022/9/1,0,,,,,700000,,0,,,,,0
13,2,12,2022/9/1,2022/12/1,1,150H,150,190H,190,800000,,0,,,,,0
14,2,13,2022/11/1,2023/3/1,0,,,,,700000,,0,,,,,0
15,2,14,2023/1/1,2023/6/1,0,,,,,700000,,0,,,,,0
16,2,15,2023/3/1,2023/9/1,0,,,,,700000,,0,,,,,0
17,3,18,2023/1/1,2023/9/1,0,,,,,800000,,0,,,,,0
18,3,19,2023/9/1,2023/11/1,0,,,,,800000,,0,,,,,0
19,3,20,2023/11/2,2024/1/1,0,,,,,800000,,0,,,,,0
20,4,24,2023/9/1,2023/11/1,1,150H,150,190H,190,800000,,0,,,,,0
21,4,25,2023/11/2,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
22,5,1,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
23,6,2,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
24,7,3,2022/1/1,2024/1/1,0,,,,,800000,,0,,,,,0
25,8,4,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
26,9,5,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
27,10,6,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
28,11,7,2022/1/1,2024/1/1,0,,,,,800000,,0,,,,,0
29,12,8,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
30,13,9,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
31,14,10,2022/1/1,2024/1/1,0,,,,,800000,,0,,,,,0
32,15,11,2022/1/1,2024/1/1,0,,,,,800000,,0,,,,,0
33,16,12,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
34,17,13,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
35,18,14,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
36,19,15,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
37,20,16,2022/1/1,2024/1/1,0,,,,,800000,,0,,,,,0
38,21,17,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
39,22,18,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
40,23,19,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
41,24,20,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
42,25,21,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
43,26,22,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
44,27,23,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
45,28,24,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
46,29,25,2022/1/1,2024/1/1,0,,,,,800000,,0,,,,,0
47,30,26,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
48,31,27,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
49,32,28,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
50,33,15,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
51,34,25,2022/1/1,2024/1/1,1,140H,140,180H,180,700000,,0,,,,,0
